vehicle_id,speed_kmph,signal_strength_dBm,tx_power_dBm,battery_percent,distance_to_rsu_m,task_type,task_size_MI,deadline_ms,cpu_usage_percent,wlan_delay_ms,fiveg_delay_ms,wan_delay_ms,compute_energy_J,network_energy_J,total_energy_J,failure_probability,processing_delay_ms,offload_location,dps_speed,handover_flag,timestamp_s
V1,83.31,-69.33,20.51,16.61,483.22,TRAFFIC,640.12,100,58.01,1.4842,0.9887,128.2635,32.006,0.035994,32.041994,0.2371,142.5519,CLOUD,N/A,0,19.551
V1,85.96,-74.19,20.53,15.2,604.68,INFOTAINMENT,2271.17,1000,44.86,3.8292,0.6048,123.3795,113.5585,0.128298,113.686798,0.2808,174.0753,CLOUD,N/A,0,20.054
V1,87.38,-72.23,21.34,18.43,555.86,TRAFFIC,632.29,100,42.6,4.5265,0.4707,96.4708,31.6145,0.043041,31.657541,0.2029,110.5844,CLOUD,N/A,0,20.585
V1,84.37,-74.16,21.7,20.22,603.91,TRAFFIC,580.47,100,48.29,1.0406,0.9636,58.5613,29.0235,0.042929,29.066429,0.2758,71.5182,CLOUD,N/A,0,21.069
V1,89.01,-74.31,20.47,17.78,607.72,SAFETY,238.36,10,69.19,3.3262,0.6313,103.0922,11.918,0.01328,11.93128,0.2331,108.4127,CLOUD,N/A,0,21.57
V1,85.26,-56.84,15.96,19.79,170.91,SAFETY,207.17,10,82.87,1.7406,0.4515,98.4199,20.717,0.000817,20.717817,0.6906,74.4408,RSU,LOW,0,22.028
V1,83.56,-59.59,15.9,20.25,239.83,SAFETY,206.83,10,68.23,4.8972,0.6874,119.7417,20.683,0.000805,20.683805,0.6474,74.5553,RSU,LOW,0,22.587
V1,88.29,-65.41,20.92,17.68,385.2,SAFETY,288.21,10,74.33,4.2885,0.5805,57.4082,14.4105,0.017811,14.428311,0.2149,63.8415,CLOUD,N/A,0,23.056
V1,85.59,-56.39,18.82,12.66,159.79,TRAFFIC,616.3,100,46.77,3.0903,0.6154,94.2721,30.815,0.023483,30.838483,0.2305,108.0288,CLOUD,N/A,0,23.562
V1,88.65,-80.14,26.04,14.9,753.54,SAFETY,232.09,10,64.71,1.6953,0.3525,50.2676,11.6045,0.046626,11.651126,0.4291,55.4482,CLOUD,N/A,0,24.023
V1,89.62,-66.0,23.44,15.11,399.99,INFOTAINMENT,2575.66,1000,38.75,3.6447,0.9536,92.5139,128.783,0.284353,129.067353,0.2908,150.0063,CLOUD,N/A,0,24.583
V2,38.92,-63.69,15.62,33.27,342.23,INFOTAINMENT,2399.47,1000,48.28,3.0019,0.6457,58.0442,119.9735,0.043761,120.017261,0.0822,111.6038,CLOUD,N/A,0,0.025
V2,32.34,-63.99,17.88,33.08,349.77,INFOTAINMENT,2999.14,1000,40.17,2.078,0.3282,125.6269,149.957,0.092038,150.049038,0.1416,192.572,CLOUD,N/A,0,0.518
V2,37.28,-63.88,15.46,33.02,346.98,INFOTAINMENT,1666.62,1000,40.1,4.4309,0.5309,119.3674,83.331,0.029296,83.360296,0.1314,156.5687,CLOUD,N/A,0,1.055
V2,35.98,-63.67,19.85,33.08,341.78,INFOTAINMENT,2029.19,1000,49.64,3.6306,0.6798,91.3248,101.4595,0.098015,101.557515,0.1256,136.6192,CLOUD,N/A,0,1.563
V2,39.03,-64.21,19.64,33.11,355.18,INFOTAINMENT,2396.5,1000,23.64,4.8926,0.7262,73.9297,119.825,0.110293,119.935293,0.1052,127.423,CLOUD,N/A,0,2.009
V2,41.35,-64.07,15.59,32.36,351.84,INFOTAINMENT,1996.75,1000,41.5,3.0355,0.4914,133.4724,99.8375,0.036165,99.873665,0.1051,178.0427,CLOUD,N/A,0,2.538
V2,40.65,-65.65,24.32,32.66,391.37,TRAFFIC,616.0,100,52.45,4.737,0.6554,132.0549,30.8,0.083282,30.883282,0.1087,145.8049,CLOUD,N/A,0,3.1
V2,36.33,-64.55,16.73,33.06,363.78,INFOTAINMENT,2086.86,1000,33.66,2.2871,0.4321,119.7498,104.343,0.049143,104.392143,0.1276,166.3315,CLOUD,N/A,0,3.504
V2,38.88,-65.98,21.93,32.14,399.6,INFOTAINMENT,2641.5,1000,49.42,2.9813,0.3259,100.2291,132.075,0.205978,132.280978,0.1374,159.1912,CLOUD,N/A,0,4.044
V2,36.69,-65.79,22.05,32.45,394.76,INFOTAINMENT,1308.72,1000,34.08,4.8768,0.537,119.2705,65.436,0.10491,65.54091,0.1352,148.483,CLOUD,N/A,0,4.586
V2,35.23,-66.0,23.8,32.64,400.04,INFOTAINMENT,1071.8,1000,22.05,3.5246,0.9447,149.7426,53.59,0.128553,53.718553,0.0598,173.6667,CLOUD,N/A,0,5.063
V2,40.16,-66.07,24.52,32.29,401.74,SAFETY,259.23,10,68.8,2.4994,0.4019,103.1166,25.923,0.00734,25.93034,0.0813,92.984,RSU,LOW,0,5.508
V2,40.14,-63.02,19.56,31.78,325.58,SAFETY,192.23,10,67.62,2.0213,0.3066,130.4633,19.223,0.001737,19.224737,0.071,68.9602,RSU,LOW,0,6.044
V2,34.89,-66.07,22.12,31.74,401.82,INFOTAINMENT,2690.61,1000,25.98,2.5388,0.6382,73.7206,134.5305,0.21919,134.74969,0.1493,133.7789,CLOUD,N/A,0,6.53
V2,41.21,-63.19,17.83,31.43,329.87,TRAFFIC,597.87,100,41.47,3.4256,0.6477,140.4155,29.8935,0.018137,29.911637,0.1107,153.7608,CLOUD,N/A,0,7.035
V2,37.8,-66.79,23.6,31.41,419.73,INFOTAINMENT,2676.67,1000,38.85,4.6136,0.7524,80.8933,133.8335,0.306595,134.140095,0.1232,140.6404,CLOUD,N/A,0,7.509
V2,34.38,-62.18,15.66,30.88,304.38,INFOTAINMENT,2942.98,1000,35.93,4.6539,0.8813,75.697,147.149,0.05417,147.20317,0.1306,141.3885,CLOUD,N/A,0,8.075
V2,34.82,-70.11,20.7,32.88,502.77,INFOTAINMENT,2720.28,1000,41.73,4.9198,0.9771,130.4588,136.014,0.159803,136.173803,0.0514,191.1793,CLOUD,N/A,0,8.554
V2,35.98,-67.35,22.92,30.85,433.76,INFOTAINMENT,2880.58,1000,23.25,1.9353,0.3175,138.4235,144.029,0.28213,144.31113,0.0721,202.7222,CLOUD,N/A,0,9.006
V2,39.67,-63.33,17.04,29.81,333.35,TRAFFIC,678.5,100,49.13,2.9705,0.368,138.7259,33.925,0.01716,33.94216,0.267,153.871,CLOUD,N/A,0,9.574
V2,40.89,-68.6,20.77,31.59,464.91,TRAFFIC,339.61,100,54.68,2.6325,0.9661,53.2716,16.9805,0.020275,17.000775,0.1451,60.8522,CLOUD,N/A,0,10.086
V2,32.42,-66.35,24.89,30.39,408.74,INFOTAINMENT,1796.28,1000,25.69,1.4886,0.8936,95.4717,89.814,0.276913,90.090913,0.1097,135.5672,CLOUD,N/A,0,10.502
V2,39.3,-60.95,17.82,32.2,273.78,TRAFFIC,606.06,100,46.21,1.8638,0.9088,82.856,30.303,0.018344,30.321344,0.0503,96.3841,CLOUD,N/A,0,11.086
V2,32.88,-62.55,15.87,32.67,313.71,INFOTAINMENT,1051.56,1000,20.45,4.1599,0.4666,82.3771,52.578,0.020314,52.598314,0.1242,105.8494,CLOUD,N/A,0,11.553
V2,38.89,-70.09,22.57,30.98,502.32,TRAFFIC,501.54,100,68.36,1.1735,0.8483,136.6981,25.077,0.045319,25.122319,0.1464,147.8932,CLOUD,N/A,0,12.006
V2,36.22,-68.98,22.45,31.26,474.52,INFOTAINMENT,1146.98,1000,22.42,3.4332,0.346,77.5016,57.349,0.100815,57.449815,0.0825,103.1038,CLOUD,N/A,0,12.599
V2,36.74,-67.93,20.5,30.91,448.35,INFOTAINMENT,2705.59,1000,39.53,4.0759,0.8046,71.5023,135.2795,0.151786,135.431286,0.0839,131.8949,CLOUD,N/A,0,13.045
V2,35.59,-65.2,23.33,32.76,380.07,INFOTAINMENT,1305.28,1000,47.69,1.2685,0.8822,59.323,65.264,0.140499,65.404499,0.1312,88.4587,CLOUD,N/A,0,13.556
V2,37.29,-63.63,15.61,30.13,340.68,INFOTAINMENT,2330.68,1000,42.51,4.4724,0.8047,146.8399,116.534,0.042408,116.576408,0.1078,198.864,CLOUD,N/A,0,14.021
V2,38.0,-59.77,19.23,31.97,244.3,INFOTAINMENT,2525.21,1000,37.22,4.2289,0.8916,147.4547,126.2605,0.105747,126.366247,0.1143,203.821,CLOUD,N/A,0,14.503
V2,40.72,-62.5,15.9,28.29,312.58,INFOTAINMENT,1617.97,1000,30.19,1.0244,0.9089,106.6321,80.8985,0.031473,80.929973,0.2633,142.7475,CLOUD,N/A,0,15.003
V2,38.89,-65.3,21.7,31.94,382.45,INFOTAINMENT,2443.19,1000,43.31,3.2704,0.3595,55.2609,122.1595,0.180687,122.340187,0.1174,109.7964,CLOUD,N/A,0,15.527
V2,38.05,-65.78,21.37,30.16,394.41,INFOTAINMENT,1227.64,1000,32.9,2.133,0.7749,98.6633,61.382,0.084147,61.466147,0.0895,126.066,CLOUD,N/A,0,16.06
V2,31.51,-61.27,15.69,31.28,281.79,INFOTAINMENT,1656.24,1000,20.23,3.9881,0.423,88.0207,82.812,0.030697,82.842697,0.1333,124.9903,CLOUD,N/A,0,16.581
V2,32.15,-57.75,15.09,27.41,193.8,INFOTAINMENT,2724.22,1000,37.27,3.2936,0.7966,91.7694,136.211,0.043976,136.254976,0.2325,152.5779,CLOUD,N/A,0,17.08
V2,37.61,-76.0,25.44,27.45,650.11,INFOTAINMENT,1486.63,1000,37.67,3.0959,0.577,81.0275,74.3315,0.260119,74.591619,0.2168,114.2112,CLOUD,N/A,0,17.551
V2,32.57,-76.06,26.75,29.6,651.43,INFOTAINMENT,2637.9,1000,44.45,1.9451,0.4025,69.7272,131.895,0.624063,132.519063,0.2656,128.6089,CLOUD,N/A,0,18.018
V2,39.16,-73.04,23.8,29.61,575.95,INFOTAINMENT,2848.31,1000,36.93,3.5412,0.7372,136.4247,142.4155,0.341631,142.757131,0.2068,200.003,CLOUD,N/A,0,18.544
V2,34.46,-57.37,17.54,31.18,184.25,INFOTAINMENT,1903.83,1000,21.71,4.3268,0.3537,136.425,95.1915,0.054025,95.245525,0.1007,178.9212,CLOUD,N/A,0,19.046
V2,36.97,-76.85,27.25,27.09,671.32,INFOTAINMENT,2303.67,1000,29.65,2.9025,0.4056,56.1874,115.1835,0.611491,115.794991,0.2343,107.6086,CLOUD,N/A,0,19.571
V2,36.48,-61.64,17.19,31.89,290.88,INFOTAINMENT,2045.5,1000,24.76,2.4914,0.498,90.8769,102.275,0.053551,102.328551,0.1289,136.5354,CLOUD,N/A,0,20.065
V2,32.09,-72.18,21.42,32.5,554.43,INFOTAINMENT,2313.13,1000,47.19,4.4931,0.5334,108.274,115.6565,0.160387,115.816887,0.1468,159.9064,CLOUD,N/A,0,20.57
V2,35.35,-78.93,26.55,28.27,723.17,INFOTAINMENT,2583.32,1000,44.4,3.6805,0.8803,123.8775,129.166,0.583644,129.749644,0.2646,181.5409,CLOUD,N/A,0,21.042
V2,35.05,-59.74,16.07,30.15,243.5,INFOTAINMENT,1972.54,1000,26.8,1.5503,0.354,134.4428,98.627,0.039902,98.666902,0.1335,178.4727,CLOUD,N/A,0,21.588
V2,31.81,-75.12,25.66,30.31,627.99,INFOTAINMENT,1324.49,1000,44.94,4.0844,0.8663,66.5539,66.2245,0.243792,66.468292,0.1176,96.1184,CLOUD,N/A,0,22.024
V2,35.87,-74.9,22.24,30.71,622.49,INFOTAINMENT,1618.94,1000,44.26,2.8761,0.8846,86.7841,80.947,0.135582,81.082582,0.0962,122.9212,CLOUD,N/A,0,22.528
V2,35.25,-81.16,29.08,28.42,778.96,INFOTAINMENT,1276.8,1000,27.5,3.5647,0.9119,105.4541,63.84,0.516527,64.356527,0.4851,133.9541,CLOUD,N/A,0,23.029
V2,39.06,-79.82,25.74,30.71,745.47,INFOTAINMENT,2892.83,1000,26.66,2.8045,0.5447,52.667,144.6415,0.542367,145.183867,0.0736,117.2391,CLOUD,N/A,0,23.599
V2,35.18,-80.9,29.2,33.0,772.42,INFOTAINMENT,2582.76,1000,24.13,2.1475,0.8808,119.6072,129.138,1.074123,130.212123,0.2949,177.2581,CLOUD,N/A,0,24.001
V2,32.22,-78.44,27.74,30.76,710.93,INFOTAINMENT,2055.54,1000,23.34,2.1524,0.5108,54.7749,102.777,0.610796,103.387796,0.0957,100.6575,CLOUD,N/A,0,24.511
V3,111.61,-52.62,17.15,67.74,65.61,TRAFFIC,396.23,100,52.5,3.6575,0.3599,147.4654,39.623,0.002056,39.625056,0.0573,141.8706,RSU,LOW,0,0.099
V3,112.0,-52.71,18.18,67.66,67.66,INFOTAINMENT,1507.3,1000,20.49,4.1541,0.5414,123.2941,75.365,0.049564,75.414564,0.1235,156.9392,CLOUD,N/A,0,0.533
V3,106.9,-53.2,15.88,67.52,80.02,TRAFFIC,485.85,100,60.86,3.5269,0.868,56.3101,24.2925,0.009407,24.301907,0.0793,67.155,CLOUD,N/A,0,1.004
V3,108.45,-53.7,17.58,67.71,92.61,INFOTAINMENT,2086.06,1000,27.6,4.0132,0.4338,85.6974,104.303,0.059744,104.362744,0.0832,132.2612,CLOUD,N/A,0,1.512
V3,110.14,-53.61,19.47,67.03,90.21,SAFETY,294.74,10,74.89,2.9901,0.947,101.9276,14.737,0.013044,14.750044,0.0579,108.5066,CLOUD,N/A,0,2.06
V3,114.68,-52.59,15.4,67.19,64.7,TRAFFIC,422.6,100,58.08,2.7045,0.7828,85.1547,21.13,0.007327,21.137327,0.0853,94.5877,CLOUD,N/A,0,2.6
V3,109.21,-54.84,15.38,66.56,120.92,TRAFFIC,445.32,100,64.03,3.7176,0.967,64.2779,22.266,0.007685,22.273685,0.0535,74.2181,CLOUD,N/A,0,3.007
V3,114.25,-52.83,17.84,67.23,70.81,TRAFFIC,571.62,100,68.46,2.4881,0.8342,107.3922,28.581,0.017381,28.598381,0.115,120.1516,CLOUD,N/A,0,3.525
V3,107.59,-53.42,16.93,66.56,85.5,SAFETY,152.36,10,67.81,2.7851,0.9975,78.5577,15.236,0.000751,15.236751,0.0542,55.4118,RSU,LOW,0,4.085
V3,110.98,-53.23,15.44,66.12,80.7,TRAFFIC,638.21,100,49.59,2.3897,0.3455,104.2171,31.9105,0.011167,31.921667,0.1212,118.4629,CLOUD,N/A,0,4.593
V3,112.84,-53.68,15.61,66.15,91.92,SAFETY,127.78,10,83.71,1.1051,0.6878,86.8911,12.778,0.000465,12.778465,0.0596,46.3235,RSU,LOW,0,5.009
V3,109.55,-55.17,17.63,65.54,129.22,TRAFFIC,629.34,100,42.21,4.8895,0.7496,94.9974,31.467,0.018233,31.485233,0.1378,109.0452,CLOUD,N/A,0,5.578
V3,112.86,-57.18,17.16,67.3,179.54,INFOTAINMENT,1110.83,1000,23.72,1.6121,0.4153,82.2661,55.5415,0.028881,55.570381,0.1441,107.0614,CLOUD,N/A,0,6.089
V3,114.92,-54.98,17.75,67.09,124.45,SAFETY,160.56,10,76.0,3.0103,0.418,144.1607,16.056,0.000956,16.056956,0.0693,57.7609,RSU,LOW,0,6.561
V3,114.89,-56.76,15.14,66.16,168.91,SAFETY,228.29,10,77.3,3.6045,0.8369,91.6587,22.829,0.000746,22.829746,0.0548,82.369,RSU,LOW,0,7.029
V3,116.03,-56.87,18.42,66.29,171.66,SAFETY,114.59,10,61.8,2.7584,0.639,70.4023,11.459,0.000796,11.459796,0.0381,41.564,RSU,LOW,0,7.573
V3,115.07,-50.68,16.85,64.62,16.99,SAFETY,163.82,10,73.99,2.0699,0.4735,59.6812,16.382,0.000793,16.382793,0.0446,58.9806,RSU,LOW,0,8.025
V3,115.11,-52.56,17.89,67.2,64.11,SAFETY,252.62,10,74.95,3.0589,0.6491,80.854,12.631,0.00777,12.63877,0.1005,86.4928,CLOUD,N/A,0,8.597
V3,108.61,-50.4,17.47,66.47,10.0,TRAFFIC,561.7,100,54.12,3.1468,0.893,93.0928,28.085,0.015685,28.100685,0.1264,105.6307,CLOUD,N/A,0,9.037
V3,110.47,-51.04,17.77,65.57,26.09,SAFETY,200.85,10,82.93,2.1189,0.9924,118.0399,20.085,0.001202,20.086202,0.0978,72.7245,RSU,LOW,0,9.579
V3,109.85,-57.68,16.0,63.98,192.1,SAFETY,200.02,10,61.36,1.5481,0.5331,97.3744,20.002,0.000796,20.002796,0.0646,71.9688,RSU,LOW,0,10.033
V3,112.59,-60.91,18.7,67.06,272.65,SAFETY,167.27,10,84.85,3.1294,0.7961,79.9791,16.727,0.00124,16.72824,0.0432,60.5354,RSU,LOW,0,10.598
V3,112.3,-57.8,18.44,64.23,194.97,SAFETY,194.92,10,89.01,4.1316,0.8433,107.7634,19.492,0.001361,19.493361,0.0625,70.4576,RSU,LOW,0,11.063
V3,112.66,-50.4,18.4,63.87,10.0,SAFETY,289.64,10,63.3,1.0757,0.5196,65.1431,14.482,0.010019,14.492019,0.1275,71.6083,CLOUD,N/A,0,11.592
V3,115.19,-50.4,15.69,64.21,10.0,SAFETY,165.01,10,79.87,3.1019,0.5196,67.3182,16.501,0.000612,16.501612,0.0408,59.4517,RSU,LOW,0,12.077
V3,113.67,-58.02,18.05,64.52,200.6,SAFETY,149.3,10,76.74,1.8995,0.981,79.7615,14.93,0.000953,14.930953,0.0287,54.3024,RSU,LOW,0,12.532
V3,109.95,-59.83,16.37,62.88,245.82,SAFETY,235.32,10,71.39,4.9206,0.8729,145.4609,23.532,0.00102,23.53302,0.0361,84.9158,RSU,LOW,0,13.071
V3,109.92,-51.38,17.4,65.35,34.47,SAFETY,207.72,10,87.99,3.7847,0.3961,111.5677,20.772,0.001142,20.773142,0.0318,74.5818,RSU,LOW,0,13.553
V3,112.84,-53.97,18.59,67.45,99.2,SAFETY,254.15,10,60.16,3.2014,0.9504,90.6907,25.415,0.001837,25.416837,0.0891,91.7183,RSU,LOW,0,14.02
V3,116.1,-58.06,19.54,65.88,201.58,SAFETY,214.83,10,76.05,3.8925,0.9557,141.323,21.483,0.001932,21.484932,0.0894,77.6807,RSU,LOW,0,14.592
V3,116.43,-55.54,19.68,65.36,138.53,INFOTAINMENT,2852.08,1000,46.3,1.0371,0.6976,60.7301,142.604,0.132474,142.736474,0.1489,124.3926,CLOUD,N/A,0,15.054
V3,111.4,-62.25,17.34,61.92,306.35,SAFETY,122.53,10,64.87,2.8357,0.4801,68.6199,12.253,0.000664,12.253664,0.0812,44.2408,RSU,LOW,0,15.576
V3,108.21,-63.45,19.13,62.26,336.19,SAFETY,117.35,10,80.08,1.7391,0.3984,82.3602,11.735,0.00096,11.73596,0.0335,42.3091,RSU,LOW,0,16.075
V3,116.0,-60.34,15.06,65.75,258.44,TRAFFIC,577.11,100,41.86,1.4729,0.5148,90.5417,28.8555,0.009252,28.864752,0.1204,103.4236,CLOUD,N/A,0,16.531
V3,107.63,-51.84,18.07,61.51,46.08,SAFETY,126.71,10,64.6,3.9909,0.724,91.5846,12.671,0.000812,12.671812,0.0524,45.9776,RSU,LOW,0,17.066
V3,108.64,-61.47,19.37,66.01,286.85,SAFETY,189.35,10,81.11,1.3124,0.6949,56.1758,9.4675,0.008189,9.475689,0.1073,60.4024,CLOUD,N/A,0,17.515
V3,109.74,-50.4,16.03,63.99,10.0,SAFETY,118.19,10,75.31,4.2348,0.6174,101.3248,11.819,0.000474,11.819474,0.0152,42.8281,RSU,LOW,0,18.081
V3,113.69,-63.35,18.73,64.81,333.74,SAFETY,109.06,10,70.34,1.255,0.9959,143.4583,10.906,0.000814,10.906814,0.094,39.9459,RSU,LOW,0,18.541
V3,114.15,-67.33,23.23,61.92,433.26,SAFETY,298.57,10,71.47,4.4785,0.9347,87.5646,14.9285,0.031406,14.959906,0.1039,94.2291,CLOUD,N/A,0,19.065
V3,109.94,-57.4,17.64,66.35,184.91,TRAFFIC,389.08,100,40.1,1.0909,0.5089,117.35,19.454,0.011298,19.465298,0.1323,126.0348,CLOUD,N/A,0,19.525
